artifact_path,category,role,mutable,exists,size_bytes,sha256
experiments/campaign_quality_q60_relation_sage_mlp_equal_seed42/metrics.json,model,metric source,False,True,2145,6c331bb802cb584d8202bd94a4e2b73b620323dc91c1e500e690a3e375b87925
experiments/campaign_quality_q60_relation_sage_mlp_equal_seed42/config_used.json,model,training configuration,False,True,734,c665174c243bdf8c8e6901f6a1d17faee8512e90de21ede8f3815ef3138fb661
experiments/campaign_quality_q60_relation_sage_mlp_equal_seed42/best_model.pt,model,trained model weights,False,True,808693,7920c7a69b6916ed411ba8a60d35501f6519c4418f811e44c243522cdcf13caf
experiments/campaign_quality_q60_relation_sage_mlp_equal_seed42/predictions_all.csv,model,probability and operating labels,True,True,1075635,f15d605348a54f5799f9ddeabf4a56628b6d907a4c57b9f1a3b3f27f691064b6
experiments/campaign_quality_q60_relation_sage_mlp_equal_seed42/prediction_test.csv,model,test split prediction export,True,True,212678,d45cf1573bfac5572d2f9097018528ea3e7a2cbe31426c4f7ed878453b543782
data/graph_campaign_quality_q60_top3_b6000_s020/graph_rur_custom2.pt,graph,active PyG graph,False,True,20782330,d555a53797d07f02f5ac380a342a8c31b6ac4d8370fb9aa6ab1b32025a2f7eaa
data/graph_campaign_quality_q60_top3_b6000_s020/graph_summary.json,graph,graph metadata,False,True,4981,617b68bc4061fae139cd63ca24f01dc47bccf41fb402c6d2b9c5a25d91a83eaa
data/edges_campaign_quality_q60_top3_b6000_s020/edges_summary.json,edge,edge design metadata,False,True,10389,c8fa7ec74140b0b22c0faafb7c0ac2a56162a3957215939aa72b7c8909ef8e46
data/edges_campaign_quality_q60_top3_b6000_s020/edge_index.npy,edge,edge index array,False,True,340992,af752d46928b2dc9789b2bcd6e34f0a14ca06e91729f03e7ed7b3f31b0c5ae0a
data/edges_campaign_quality_q60_top3_b6000_s020/edge_type.npy,edge,edge type array,False,True,170560,8f82843e256c86a953f8a26628e188eb8777a270aed397d87be769c19495c663
VerifyResults.py,verification,headline metric verification,False,True,7623,aa2b99cd4a82f0de2fd525d8f41c07cb64ac2bfa28c7a14930d867665be365ec
ApplyOperatingThreshold.py,operation,threshold application utility,False,True,6156,0f692cfa21d56c7baaf5a864db607051b135944c2ec29d730641c7209504e6b6
BuildGovernanceLayer.py,governance,governance layer generator,False,True,13693,5b8473fb9f6748e8b57f182e50ef3f86000330077d95fa324d87125c48bbb1e9
